step,data_bpt,param_bpt,S,lambda,I
0,3.7962,0.084158,0.0217,1.0000,0.0000
1,3.4944,0.084158,0.0235,1.0000,0.0000
2,3.7175,0.084158,0.0221,1.0000,0.0000
3,3.4141,0.084158,0.0241,1.0000,0.0000
4,3.6974,0.084158,0.0223,1.0000,0.0000
5,3.4838,0.084158,0.0236,1.0000,0.0000
6,3.6194,0.084158,0.0227,1.0000,0.0000
7,3.8292,0.084158,0.0215,1.0000,0.0000
8,3.7427,0.084170,0.0220,1.0000,0.0000
9,3.8962,0.084170,0.0211,1.0000,0.0000
10,3.7131,0.084170,0.0222,1.0000,0.0000
11,3.5478,0.084170,0.0232,1.0000,0.0000
12,4.2104,0.084308,0.0196,1.0000,0.0000
13,3.6269,0.084308,0.0227,1.0000,0.0000
14,3.4651,0.084308,0.0238,1.0000,0.0000
15,3.6704,0.084308,0.0225,1.0000,0.0000
16,3.6022,0.084638,0.0230,1.0000,0.0000
17,3.1494,0.084638,0.0262,1.0000,0.0000
18,3.3400,0.084638,0.0247,1.0000,0.0000
19,3.7280,0.084638,0.0222,1.0000,0.0000
20,3.8144,0.085031,0.0218,1.0000,0.0000
21,3.5016,0.085031,0.0237,1.0000,0.0000
22,3.4366,0.085031,0.0241,1.0000,0.0000
23,2.6643,0.085031,0.0309,1.0000,0.0000
24,3.9941,0.085436,0.0209,1.0000,0.0000
25,3.2750,0.085436,0.0254,1.0000,0.0000
26,3.2553,0.085436,0.0256,1.0000,0.0000
27,2.5640,0.085436,0.0322,1.0000,0.0000
28,4.1877,0.085849,0.0201,1.0000,0.0000
29,3.6886,0.085849,0.0227,1.0000,0.0000
