step,data_bpt,param_bpt,S,lambda,I
0,3.7962,0.084154,0.0217,2.0000,0.0000
1,3.4944,0.084154,0.0235,2.0000,0.0000
2,3.7175,0.084154,0.0221,2.0000,0.0000
3,3.4141,0.084154,0.0241,2.0000,0.0000
4,3.6974,0.084154,0.0223,2.0000,0.0000
5,3.4838,0.084154,0.0236,2.0000,0.0000
6,3.6194,0.084154,0.0227,2.0000,0.0000
7,3.8292,0.084154,0.0215,2.0000,0.0000
8,3.7413,0.084166,0.0220,2.0000,0.0000
9,3.8952,0.084166,0.0212,2.0000,0.0000
10,3.7115,0.084166,0.0222,2.0000,0.0000
11,3.5475,0.084166,0.0232,2.0000,0.0000
12,4.2096,0.084304,0.0196,2.0000,0.0000
13,3.6286,0.084304,0.0227,2.0000,0.0000
14,3.4641,0.084304,0.0238,2.0000,0.0000
15,3.6678,0.084304,0.0225,2.0000,0.0000
16,3.5993,0.084631,0.0230,2.0000,0.0000
17,3.1522,0.084631,0.0261,2.0000,0.0000
18,3.3393,0.084631,0.0247,2.0000,0.0000
19,3.7268,0.084631,0.0222,2.0000,0.0000
20,3.8126,0.085018,0.0218,2.0000,0.0000
21,3.5079,0.085018,0.0237,2.0000,0.0000
22,3.4379,0.085018,0.0241,2.0000,0.0000
23,2.6674,0.085018,0.0309,2.0000,0.0000
24,3.9933,0.085418,0.0209,2.0000,0.0000
25,3.2792,0.085418,0.0254,2.0000,0.0000
26,3.2593,0.085418,0.0255,2.0000,0.0000
27,2.5569,0.085418,0.0323,2.0000,0.0000
28,4.1806,0.085829,0.0201,2.0000,0.0000
29,3.6904,0.085829,0.0227,2.0000,0.0000
