step,data_bpt,param_bpt,S,lambda,I
0,3.7962,0.084169,0.0217,0.5000,0.0000
1,3.4944,0.084169,0.0235,0.5000,0.0000
2,3.7175,0.084169,0.0221,0.5000,0.0000
3,3.4141,0.084169,0.0241,0.5000,0.0000
4,3.6974,0.084169,0.0223,0.5000,0.0000
5,3.4838,0.084169,0.0236,0.5000,0.0000
6,3.6194,0.084169,0.0227,0.5000,0.0000
7,3.8292,0.084169,0.0215,0.5000,0.0000
8,3.7412,0.084182,0.0220,0.5000,0.0000
9,3.8953,0.084182,0.0212,0.5000,0.0000
10,3.7112,0.084182,0.0222,0.5000,0.0000
11,3.5476,0.084182,0.0232,0.5000,0.0000
12,4.2087,0.084318,0.0196,0.5000,0.0000
13,3.6270,0.084318,0.0227,0.5000,0.0000
14,3.4635,0.084318,0.0238,0.5000,0.0000
15,3.6671,0.084318,0.0225,0.5000,0.0000
16,3.5980,0.084649,0.0230,0.5000,0.0000
17,3.1547,0.084649,0.0261,0.5000,0.0000
18,3.3399,0.084649,0.0247,0.5000,0.0000
19,3.7266,0.084649,0.0222,0.5000,0.0000
20,3.8126,0.085042,0.0218,0.5000,0.0000
21,3.5052,0.085042,0.0237,0.5000,0.0000
22,3.4351,0.085042,0.0242,0.5000,0.0000
23,2.6641,0.085042,0.0309,0.5000,0.0000
24,3.9965,0.085451,0.0209,0.5000,0.0000
25,3.2783,0.085451,0.0254,0.5000,0.0000
26,3.2591,0.085451,0.0255,0.5000,0.0000
27,2.5620,0.085451,0.0323,0.5000,0.0000
28,4.1873,0.085862,0.0201,0.5000,0.0000
29,3.6915,0.085862,0.0227,0.5000,0.0000
