step,data_bpt,param_bpt,S,lambda,I,configuration,lambda_type,lambda_value
0,3.7962,0.084158,0.0217,1.0,0.0,fixed_1.0,fixed,1.0
1,3.4944,0.084158,0.0235,1.0,0.0,fixed_1.0,fixed,1.0
2,3.7175,0.084158,0.0221,1.0,0.0,fixed_1.0,fixed,1.0
3,3.4141,0.084158,0.0241,1.0,0.0,fixed_1.0,fixed,1.0
4,3.6974,0.084158,0.0223,1.0,0.0,fixed_1.0,fixed,1.0
5,3.4838,0.084158,0.0236,1.0,0.0,fixed_1.0,fixed,1.0
6,3.6194,0.084158,0.0227,1.0,0.0,fixed_1.0,fixed,1.0
7,3.8292,0.084158,0.0215,1.0,0.0,fixed_1.0,fixed,1.0
8,3.7427,0.08417,0.022,1.0,0.0,fixed_1.0,fixed,1.0
9,3.8962,0.08417,0.0211,1.0,0.0,fixed_1.0,fixed,1.0
10,3.7131,0.08417,0.0222,1.0,0.0,fixed_1.0,fixed,1.0
11,3.5478,0.08417,0.0232,1.0,0.0,fixed_1.0,fixed,1.0
12,4.2104,0.084308,0.0196,1.0,0.0,fixed_1.0,fixed,1.0
13,3.6269,0.084308,0.0227,1.0,0.0,fixed_1.0,fixed,1.0
14,3.4651,0.084308,0.0238,1.0,0.0,fixed_1.0,fixed,1.0
15,3.6704,0.084308,0.0225,1.0,0.0,fixed_1.0,fixed,1.0
16,3.6022,0.084638,0.023,1.0,0.0,fixed_1.0,fixed,1.0
17,3.1494,0.084638,0.0262,1.0,0.0,fixed_1.0,fixed,1.0
18,3.34,0.084638,0.0247,1.0,0.0,fixed_1.0,fixed,1.0
19,3.728,0.084638,0.0222,1.0,0.0,fixed_1.0,fixed,1.0
20,3.8144,0.085031,0.0218,1.0,0.0,fixed_1.0,fixed,1.0
21,3.5016,0.085031,0.0237,1.0,0.0,fixed_1.0,fixed,1.0
22,3.4366,0.085031,0.0241,1.0,0.0,fixed_1.0,fixed,1.0
23,2.6643,0.085031,0.0309,1.0,0.0,fixed_1.0,fixed,1.0
24,3.9941,0.085436,0.0209,1.0,0.0,fixed_1.0,fixed,1.0
25,3.275,0.085436,0.0254,1.0,0.0,fixed_1.0,fixed,1.0
26,3.2553,0.085436,0.0256,1.0,0.0,fixed_1.0,fixed,1.0
27,2.564,0.085436,0.0322,1.0,0.0,fixed_1.0,fixed,1.0
28,4.1877,0.085849,0.0201,1.0,0.0,fixed_1.0,fixed,1.0
29,3.6886,0.085849,0.0227,1.0,0.0,fixed_1.0,fixed,1.0
