step,data_bpt,param_bpt,S,lambda,I,configuration,lambda_type,lambda_value
56,3.880204387203756,0.0364175329692522,0.0092981997526183,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
57,3.842280894323153,0.0356840615061771,0.0092017493485951,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
58,3.861813288735714,0.0364897452719454,0.0093604178417171,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
59,3.860339576274413,0.0327010187778489,0.008399865857913,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
60,3.8920046439609552,0.0335333030465484,0.0085423459151914,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
61,3.8136613515532023,0.035467942227276,0.0092145364627231,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
62,3.8785227083338367,0.0360723881850389,0.0092148452893932,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
63,3.8616903590186986,0.0373777186254444,0.0095863211108713,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
64,3.8029364124024143,0.0334883606135708,0.0087290544178308,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
65,3.843318014453205,0.0354758117470614,0.0091460936921759,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
66,3.93361830692764,0.0330111533084839,0.0083222175500402,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
67,3.870328044476219,0.0362809880242286,0.0092870793371935,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
68,3.851963033969664,0.0367846357263056,0.0094592498281539,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
69,3.935539647188348,0.0339465481485244,0.0085518745948538,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
70,3.8807894428349545,0.0364391744870382,0.0093022843563186,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
71,3.9416804292179424,0.0350677118414924,0.0088181877749366,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
72,3.8409813763490415,0.0335518758398341,0.0086595916607192,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
73,3.829739860544144,0.0363381367005723,0.0093992249319516,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
74,3.9335154609485135,0.0341690071584552,0.0086118257218063,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
75,3.799832148909575,0.0359000917976843,0.0093593842178787,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
76,3.8132414231678786,0.0336598862343249,0.008749869967305,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
77,3.871820199202766,0.0320480329159672,0.0082093019052986,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
78,3.737863802627443,0.0371795753001339,0.0098487809484575,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
79,3.849473013163966,0.034760258763519,0.0089490657048694,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
80,3.765424421311317,0.0331814291527707,0.0087351598083588,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
81,3.8633500817960074,0.0335932765388992,0.0086204169396121,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
82,3.832805005272272,0.0346554511743205,0.0089607771209539,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
83,3.7750717379329695,0.035321062340977,0.0092696643607025,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
84,3.8493437355414337,0.0327628433057644,0.0084394497266722,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
85,3.8250760808120026,0.036217828699342,0.0093797130050443,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
86,3.741864529310084,0.0337121775593923,0.0089290140756655,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
87,3.9081439181261426,0.0345319392169434,0.0087585032263377,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
88,3.898669773349587,0.031483693758057,0.0080108051814137,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
89,3.8639556005505074,0.0333291854167493,0.0085518988852844,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
90,3.8828352561392223,0.0358011912424406,0.0091361349089584,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
91,3.820380437161148,0.0327537769726863,0.0085005543934963,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
92,3.7785420300388592,0.0353341121763872,0.0092646197356225,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
93,3.9323192152161086,0.0338037220494484,0.0085231150380715,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
94,3.79504198938487,0.0363991016271386,0.0095001073388614,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
95,3.8036603436685694,0.0347233710272151,0.0090463522170209,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
96,3.853320658148903,0.0356807092165129,0.009174774150487,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
97,3.752685305225109,0.0328002234658464,0.008664733550623,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
98,3.828945872772469,0.03094940818948,0.0080181989242378,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
99,3.8043680960971664,0.0369402545942218,0.0096165814409491,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
100,3.872146239293387,0.0378428794588249,0.0096785127296982,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
101,3.8656975972042273,0.0341060167857962,0.0087455728958877,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
102,3.7520902643243215,0.0335061720520736,0.0088509624877357,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
103,3.873362961513157,0.0337455791650038,0.0086369699775851,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
104,3.851607606066772,0.0327357400249632,0.0084276123679696,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
105,3.8168778843454447,0.0358586154637301,0.0093073106519239,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
106,3.775137785950624,0.0367028581470492,0.0096286444198239,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
107,3.87444967258828,0.0356816053466972,0.0091254238823258,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
108,3.867508236215936,0.0314402199551455,0.0080637690671143,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
109,3.822386765206736,0.0305937615195941,0.0079402844907674,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
110,3.85059955342872,0.0325196106520503,0.0083746105329086,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
111,3.809747294743094,0.0355412835425774,0.0092428130734527,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
112,3.793454031072751,0.0325123954069299,0.0084978255903946,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
113,3.731135449790315,0.0324884593347497,0.0086322279056576,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
114,3.924301372195603,0.0343928269108955,0.0086879221230723,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
115,3.7987436103657632,0.0364140833259944,0.0094948073154566,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
116,3.7680282906693394,0.0375198051406588,0.0098592381954045,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
117,3.746991019687339,0.0343977073177249,0.0090965805953964,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
118,3.757462374037693,0.0361031116713301,0.0095169338205275,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
119,3.765019378789251,0.0329428899861511,0.0086738328753258,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
120,3.7995399815492505,0.0329891642133332,0.008607674712613,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
121,3.766931944105557,0.0375392063165146,0.0098671286579082,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
122,3.772601584690339,0.0397766164646922,0.0104335441989048,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
123,3.79477370890206,0.0312126826941375,0.0081580746765582,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
124,3.808601167400629,0.0371177081906186,0.0096516956624688,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
125,3.8296945071049873,0.0339836986258083,0.0087956855659982,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
126,3.9154540566204257,0.0336857553075894,0.008529896866615,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
127,3.821098489358501,0.0317193065518553,0.0082327554096963,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
128,3.78061272028735,0.0325200065552458,0.008528422398287,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
129,3.8751847301989617,0.035293910716537,0.0090254707818258,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
130,3.669618612219966,0.0373096401668683,0.0100648401119836,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
131,3.827554420496164,0.0352525670977588,0.0091261528756105,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
132,3.958561165148956,0.0372099535154891,0.0093123335672755,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
133,3.8246879161944136,0.0360056050542579,0.0093262013304315,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
134,3.76019938520268,0.0329457650555143,0.0086856062055183,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
135,3.835628855174434,0.0342319523501974,0.0088457838802977,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
136,3.729721532505728,0.0351524545662674,0.0093369538228837,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
137,3.684211763190178,0.0361480885785067,0.0097162882137118,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
138,3.836797633715796,0.0311501563394397,0.0080534066203088,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
139,3.7563105560241254,0.0331360131853335,0.0087442882701064,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
140,3.874344589133629,0.0336554431502938,0.008611935228318,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
141,3.796782424927715,0.0352807966438674,0.0092067365812921,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
142,3.790784435201769,0.0372492707036628,0.0097306537939305,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
143,3.758976369856513,0.0342506118997396,0.0090294127043991,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
144,3.887717328311212,0.0359304110886059,0.0091573998164529,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
145,3.7092424855628137,0.0397184877668376,0.0105945322048955,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
146,3.717549159616317,0.0373552255998366,0.0099483826397582,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
147,3.766904698682982,0.034736964148574,0.0091373588647755,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
148,3.841046354462217,0.0390448841895895,0.0100628778521085,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
149,3.799856548790256,0.0340548480026025,0.0088825339133006,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
150,3.79212691087362,0.0336858582758271,0.0088048893943433,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
151,3.7021533226359904,0.0336233317677918,0.0090003591965692,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
152,3.820692553416496,0.0335256125507949,0.0086984210823418,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
153,3.859781346251425,0.0358708095801392,0.0092079087519255,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
154,3.7179819757810946,0.0344088144532696,0.0091698376786391,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
155,3.884926404979228,0.0327152784385624,0.008350758206662,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
156,3.786306788981957,0.0337564370856992,0.0088366173772594,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
157,3.751064685073783,0.0353638585666016,0.0093396344758699,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
158,3.716592926209922,0.0358878947601891,0.0095637783302277,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
159,3.762476016552629,0.0350992561927782,0.0092425439054967,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
160,3.853737234852323,0.0351855405483718,0.0090476315886078,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
161,3.836561547429604,0.0345960791377955,0.0089368820583191,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
162,3.739354515636304,0.031156013012123,0.0082630754576598,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
163,3.795230388336833,0.0347619223830739,0.0090762381652249,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
164,3.802272485966153,0.0348466214712415,0.0090814542096697,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
165,3.895148917762461,0.0341537154635512,0.0086920552198624,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
166,3.8249911285832,0.0342743391877862,0.0088810524888774,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
167,3.672397227126575,0.0351199076267749,0.0094726217979061,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
168,3.6989716119045113,0.03313289608868,0.0088778050072601,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
169,3.763187899787044,0.0344061994467183,0.0090599991857108,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
170,3.839999836022616,0.0347752571176351,0.0089747808019102,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
171,3.731782388023487,0.0371099548176542,0.0098463822900495,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
172,3.7656678374495303,0.0331438610555071,0.0087247970381239,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
173,3.764592658642108,0.0340568953079542,0.0089655270443518,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
174,3.7475860898710938,0.0324221651626702,0.0085772736394144,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
175,3.724252224388872,0.0340484914583603,0.0090595442016631,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
176,3.789484395322488,0.0375325189600667,0.0098072519146686,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
177,3.736117319904168,0.0356799925024263,0.0094596791786939,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
178,3.761621830867993,0.0341237155314136,0.0089899902704971,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
179,3.746321523461023,0.0363863486887025,0.0096191273337806,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
180,3.82778009883775,0.0327670391205047,0.008487667149127,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
181,3.756306909990896,0.0360319086406926,0.0095012366679025,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
182,3.797445103103739,0.0336478886761257,0.0087828431072599,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
183,3.713268343784574,0.0341892161571541,0.0091233097667651,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
184,3.733325329650062,0.0355679961092816,0.0094372520087486,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
185,3.732842749920057,0.0324990813747185,0.0086311104889893,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
186,3.683292944126156,0.0368330283747524,0.0099010164298255,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
187,3.708689457180451,0.0349438966103592,0.0093342198094733,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
188,3.8138741592122543,0.0357689188062565,0.009291489647572,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
189,3.762946591278779,0.0390256614437517,0.010264583445028,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
190,3.753487673286669,0.0343688031220166,0.0090734174687109,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
191,3.675906690163124,0.0351886859711166,0.00948202145313,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
192,3.6698170209857928,0.0361119685489479,0.009744376821824,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
193,3.762615049400694,0.0353362660644041,0.0093040334457464,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
194,3.76488311116386,0.042132076425488,0.0110669578001254,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
195,3.821321440395405,0.0317535546283046,0.0082410943647125,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
196,3.751481833429102,0.0348637128325051,0.0092077472609248,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
197,3.79271130894085,0.0365191096637481,0.0095369318822699,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
198,3.754190826803699,0.0354724866063855,0.0093603266762149,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
199,3.7573623971620833,0.0346496844852688,0.0091375459094571,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
200,3.692763867739673,0.032275551935692,0.0086644860092527,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
201,3.775532468822158,0.0333298859529077,0.008750614448202,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
202,3.66194993791296,0.0343491270490123,0.009292843042549,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
203,3.8343608598440153,0.0374270545413627,0.0096666076161622,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
204,3.83760629311604,0.0319111051456497,0.0082467920056349,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
205,3.7907962257536063,0.0346617321464069,0.0090608059290852,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
206,3.712683708057226,0.0326605080790581,0.0087202954372911,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
207,3.628516200802266,0.0333992955411697,0.0091207171696125,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
208,3.716987655221697,0.0355113295069777,0.0094633815096276,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
209,3.748503004727453,0.0333361992209294,0.0088148113717064,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
210,3.72574409009676,0.0317951004353485,0.0084616816547017,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
211,3.719935423635634,0.0340610642927249,0.0090732808094664,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
212,3.691211906981108,0.0352073042131551,0.009448025629374,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
213,3.79236499322199,0.0323201304507554,0.0084504029496993,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
214,3.779806355691018,0.0362502793415608,0.0094994081085621,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
215,3.829665044271078,0.0349105959278855,0.0090334875489946,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
216,3.7281527034290303,0.0304625377950291,0.0081047236388868,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
217,3.6917931356824623,0.0363011981613124,0.0097371994672368,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
218,3.701616653693683,0.0320457514934642,0.0085829269001244,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
219,3.744562329195039,0.0331842264005236,0.0087841325277291,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
220,3.693708269270659,0.0355778207879071,0.0095401157027747,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
221,3.6679004011132914,0.0339956431176489,0.0091833057199507,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
222,3.72169393388393,0.0353620249663167,0.0094121635007902,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
223,3.693323552407125,0.0329655930070567,0.0088467619448228,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
224,3.6820710127469543,0.0324719213499369,0.0087418349783677,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
225,3.659606284581221,0.0350150947805637,0.0094773161266696,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
226,3.692123972316837,0.0377368368861455,0.0101174919967615,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
227,3.737291083824194,0.03569513984113,0.0094607130069119,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
228,3.687932270767547,0.0332442825172763,0.0089338095199837,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
